"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Should create product: Price = 1","sales-portal-api","Sun Apr 26 21:02:22 UTC 2026","passed","Sun Apr 26 21:02:22 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","112","Update status to Draft for In Process order","sales-portal-api","Sun Apr 26 21:02:21 UTC 2026","passed","Sun Apr 26 21:02:21 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","108","Should return 401 when using invalid token","sales-portal-api","Sun Apr 26 21:02:15 UTC 2026","passed","Sun Apr 26 21:02:15 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","32","Should update customer: 40-char street including one space","sales-portal-api","Sun Apr 26 21:02:09 UTC 2026","passed","Sun Apr 26 21:02:09 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","33","Should NOT update product: Notes contain < >","sales-portal-api","Sun Apr 26 21:02:25 UTC 2026","passed","Sun Apr 26 21:02:25 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","54","Should update product: Full valid data","sales-portal-api","Sun Apr 26 21:02:24 UTC 2026","passed","Sun Apr 26 21:02:24 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","79","Should NOT update delivery: Street with @","sales-portal-api","Sun Apr 26 21:02:17 UTC 2026","passed","Sun Apr 26 21:02:17 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","1939","Should not open edit customer modal for In Process order","sales-portal-ui","Sun Apr 26 21:01:21 UTC 2026","passed","Sun Apr 26 21:01:23 UTC 2026","[UI] [Orders] [Customer] > [UI] [Orders] [Customer] [Positive] Edit customer > [UI] [Orders] [Customer] [Negative] Edit customer modal for In Process order (without service)","src/ui/tests/orders/criticalPath/editCustomer.spec.ts","",""
"","1200","Verify Edit Products pencil button opens edit modal","sales-portal-ui","Sun Apr 26 21:01:15 UTC 2026","passed","Sun Apr 26 21:01:16 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Order Details] [Received Products] Orders in Draft","src/ui/tests/health-check.spec.ts","",""
"","1393","Verify click on Receive button","sales-portal-ui","Sun Apr 26 21:01:18 UTC 2026","passed","Sun Apr 26 21:01:19 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Order Details] [Received Products] Orders in Progress","src/ui/tests/health-check.spec.ts","",""
"","35","Should update product: Price = 99999","sales-portal-api","Sun Apr 26 21:02:24 UTC 2026","passed","Sun Apr 26 21:02:24 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","97","Should NOT update delivery: house = 0","sales-portal-api","Sun Apr 26 21:02:17 UTC 2026","passed","Sun Apr 26 21:02:17 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","11","Should NOT get all products with invalid token - 401 Unauthorized","sales-portal-api","Sun Apr 26 21:02:24 UTC 2026","passed","Sun Apr 26 21:02:24 UTC 2026","[API] [Products] Get All Products > Negative","src/api/tests/products/getAllProducts.spec.ts","",""
"","15","401 Unauthorized - Delete order with empty token","sales-portal-api","Sun Apr 26 21:02:24 UTC 2026","passed","Sun Apr 26 21:02:24 UTC 2026","[API] [Orders] Delete order by id > Negative","src/api/tests/orders/deleteOrderById.spec.ts","",""
"","1719","Verify individual product received checkbox","sales-portal-ui","Sun Apr 26 21:01:21 UTC 2026","passed","Sun Apr 26 21:01:22 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Order Details] [Received Products] Orders in Progress","src/ui/tests/health-check.spec.ts","",""
"","32","Should NOT update customer: Street too long (41 chars)","sales-portal-api","Sun Apr 26 21:02:10 UTC 2026","passed","Sun Apr 26 21:02:10 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","81","Should NOT update delivery: flat = 0","sales-portal-api","Sun Apr 26 21:02:17 UTC 2026","passed","Sun Apr 26 21:02:17 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","37","Should return list of customers after searching by email with country filter - 200 OK","sales-portal-api","Sun Apr 26 21:02:08 UTC 2026","passed","Sun Apr 26 21:02:08 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","29","Should NOT delete product with invalid workerToken - 401 Unauthorized","sales-portal-api","Sun Apr 26 21:02:22 UTC 2026","passed","Sun Apr 26 21:02:22 UTC 2026","[API] [Products] Delete product > Negative","src/api/tests/products/deleteProductById.spec.ts","",""
"","2097","Should open ""Remove Manager"" modal and display its basic UI","sales-portal-ui","Sun Apr 26 21:01:12 UTC 2026","passed","Sun Apr 26 21:01:14 UTC 2026","[UI] [Orders] [Modals] [Remove Manager Modal]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
"","32","Should NOT update product: Price contains a non-integer number (price = 5.6)","sales-portal-api","Sun Apr 26 21:02:25 UTC 2026","passed","Sun Apr 26 21:02:25 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","10","404 Not Found - Get order by invalid id","sales-portal-api","Sun Apr 26 21:02:14 UTC 2026","passed","Sun Apr 26 21:02:14 UTC 2026","[API] [Orders] Get order by id > Negative","src/api/tests/orders/getOrderById.spec.ts","",""
"","68","Should NOT update delivery: flat is a string","sales-portal-api","Sun Apr 26 21:02:17 UTC 2026","passed","Sun Apr 26 21:02:17 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","1080","Should filter orders by search input","sales-portal-ui","Sun Apr 26 21:01:28 UTC 2026","passed","Sun Apr 26 21:01:29 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Orders List]","src/ui/tests/health-check.spec.ts","",""
"","30","Should NOT update customer: Flat exceeds upper limit","sales-portal-api","Sun Apr 26 21:02:10 UTC 2026","passed","Sun Apr 26 21:02:10 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","43","Should create customer: 1-char name - 201 Created","sales-portal-api","Sun Apr 26 21:02:05 UTC 2026","passed","Sun Apr 26 21:02:05 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
